#            configname    selected    
    SCEL1_1_1_1_0_0_0/0           1    
    SCEL1_1_1_1_0_0_0/1           1    
    SCEL2_2_1_1_0_0_1/0           1    
    SCEL2_2_1_1_0_1_1/0           1    
    SCEL3_3_1_1_0_0_2/0           1    
    SCEL3_3_1_1_0_0_2/1           1    
    SCEL3_3_1_1_0_2_1/0           1    
    SCEL3_3_1_1_0_2_1/1           1    
    SCEL3_3_1_1_0_2_2/0           1    
    SCEL3_3_1_1_0_2_2/1           1    
    SCEL4_2_2_1_0_1_0/0           1    
    SCEL4_2_2_1_0_1_0/1           1    
    SCEL4_2_2_1_1_1_0/0           1    
    SCEL4_2_2_1_1_1_0/1           1    
    SCEL4_4_1_1_0_0_0/0           1    
    SCEL4_4_1_1_0_0_0/1           1    
    SCEL4_4_1_1_0_0_0/2           1    
    SCEL4_4_1_1_0_0_2/0           1    
    SCEL4_4_1_1_0_0_2/1           1    
    SCEL4_4_1_1_0_0_2/2           1    
    SCEL4_4_1_1_0_0_3/0           1    
    SCEL4_4_1_1_0_0_3/1           1    
    SCEL4_4_1_1_0_0_3/2           1    
    SCEL4_4_1_1_0_1_0/0           1    
    SCEL4_4_1_1_0_1_0/1           1    
    SCEL4_4_1_1_0_1_0/2           1    
    SCEL4_4_1_1_0_2_1/0           1    
    SCEL4_4_1_1_0_2_1/1           1    
    SCEL4_4_1_1_0_2_1/2           1    
    SCEL5_1_1_5_0_0_0/0           1    
    SCEL5_1_1_5_0_0_0/1           1    
    SCEL5_1_1_5_0_0_0/2           1    
    SCEL5_1_1_5_0_0_0/3           1    
    SCEL5_1_1_5_0_0_0/4           1    
    SCEL5_1_1_5_0_0_0/5           1    
    SCEL5_5_1_1_0_0_3/0           1    
    SCEL5_5_1_1_0_0_3/1           1    
    SCEL5_5_1_1_0_0_3/2           1    
    SCEL5_5_1_1_0_0_3/3           1    
    SCEL5_5_1_1_0_0_3/4           1    
    SCEL5_5_1_1_0_0_3/5           1    
    SCEL5_5_1_1_0_0_4/0           1    
    SCEL5_5_1_1_0_0_4/1           1    
    SCEL5_5_1_1_0_0_4/2           1    
    SCEL5_5_1_1_0_0_4/3           1    
    SCEL5_5_1_1_0_0_4/4           1    
    SCEL5_5_1_1_0_0_4/5           1    
    SCEL5_5_1_1_0_1_3/0           1    
    SCEL5_5_1_1_0_1_3/1           1    
    SCEL5_5_1_1_0_1_3/2           1    
    SCEL5_5_1_1_0_1_3/3           1    
    SCEL5_5_1_1_0_4_3/0           1    
    SCEL5_5_1_1_0_4_3/1           1    
    SCEL5_5_1_1_0_4_3/2           1    
    SCEL5_5_1_1_0_4_3/3           1    
    SCEL5_5_1_1_0_4_3/4           1    
    SCEL5_5_1_1_0_4_3/5           1    
    SCEL6_2_3_1_0_1_0/0           1    
    SCEL6_2_3_1_0_1_0/1           1    
    SCEL6_2_3_1_0_1_0/2           1    
    SCEL6_2_3_1_0_1_0/3           1    
    SCEL6_2_3_1_0_1_0/4           1    
