#                  name    selected    formation_energy
    SCEL1_1_1_1_0_0_0/0           1         -0.00000000
    SCEL1_1_1_1_0_0_0/1           1         0.00000000
    SCEL2_2_1_1_0_0_1/0           1         -0.03362458
    SCEL2_2_1_1_0_1_1/0           1         -0.05306719
    SCEL3_3_1_1_0_0_2/0           1         -0.07657772
    SCEL3_3_1_1_0_0_2/1           1         -0.00247946
    SCEL3_3_1_1_0_2_1/0           1         -0.11653362
    SCEL3_3_1_1_0_2_1/1           1         -0.07168021
    SCEL3_3_1_1_0_2_2/0           1         0.00297396
    SCEL3_3_1_1_0_2_2/1           1         -0.01113396
    SCEL4_2_2_1_0_1_0/0           1         -0.09173820
    SCEL4_2_2_1_0_1_0/1           1         -0.02685051
    SCEL4_2_2_1_1_1_0/0           1         0.03072950
    SCEL4_2_2_1_1_1_0/1           1         -0.06100486
    SCEL4_4_1_1_0_0_0/0           1         -0.04503584
    SCEL4_4_1_1_0_0_0/1           1         0.00084257
    SCEL4_4_1_1_0_0_0/2           1         -0.00705429
    SCEL4_4_1_1_0_0_2/0           1         -0.10660828
    SCEL4_4_1_1_0_0_2/1           1         -0.06309656
    SCEL4_4_1_1_0_0_2/2           1         -0.01161094
    SCEL4_4_1_1_0_0_3/0           1         -0.02977428
    SCEL4_4_1_1_0_0_3/1           1         -0.03937695
    SCEL4_4_1_1_0_0_3/2           1         -0.01638868
    SCEL4_4_1_1_0_1_0/0           1         -0.06269318
    SCEL4_4_1_1_0_1_0/1           1         -0.04704055
    SCEL4_4_1_1_0_1_0/2           1         -0.01975622
    SCEL4_4_1_1_0_2_1/0           1         -0.05610181
    SCEL4_4_1_1_0_2_1/1           1         -0.15225637
    SCEL4_4_1_1_0_2_1/2           1         -0.07774921
    SCEL5_1_1_5_0_0_0/0           1         -0.01392118
    SCEL5_1_1_5_0_0_0/1           1         -0.01006549
    SCEL5_1_1_5_0_0_0/2           1         -0.02458047
    SCEL5_1_1_5_0_0_0/3           1         -0.02586996
    SCEL5_1_1_5_0_0_0/4           1         0.00552708
    SCEL5_1_1_5_0_0_0/5           1         -0.00723104
    SCEL5_5_1_1_0_0_3/0           1         -0.06582601
    SCEL5_5_1_1_0_0_3/1           1         -0.10341008
    SCEL5_5_1_1_0_0_3/2           1         -0.06946094
    SCEL5_5_1_1_0_0_3/3           1         -0.04905737
    SCEL5_5_1_1_0_0_3/4           1         -0.01835377
    SCEL5_5_1_1_0_0_3/5           1         -0.00070143
    SCEL5_5_1_1_0_0_4/0           1         -0.05730478
    SCEL5_5_1_1_0_0_4/1           1         -0.06313958
    SCEL5_5_1_1_0_0_4/2           1         -0.00780675
    SCEL5_5_1_1_0_0_4/3           1         -0.00653565
    SCEL5_5_1_1_0_0_4/4           1         -0.03432986
    SCEL5_5_1_1_0_0_4/5           1         -0.00608567
    SCEL5_5_1_1_0_1_3/0           1         -0.08686661
    SCEL5_5_1_1_0_1_3/1           1         -0.12077771
    SCEL5_5_1_1_0_1_3/2           1         -0.08110683
    SCEL5_5_1_1_0_1_3/3           1         -0.03249201
    SCEL5_5_1_1_0_4_3/0           1         -0.05605169
    SCEL5_5_1_1_0_4_3/1           1         -0.06562321
    SCEL5_5_1_1_0_4_3/2           1         -0.02911021
    SCEL5_5_1_1_0_4_3/3           1         -0.04373994
    SCEL5_5_1_1_0_4_3/4           1         -0.02287384
    SCEL5_5_1_1_0_4_3/5           1         -0.04059812
    SCEL6_2_3_1_0_1_0/0           1         -0.05572074
    SCEL6_2_3_1_0_1_0/1           1         -0.08997613
    SCEL6_2_3_1_0_1_0/2           1         -0.07440507
    SCEL6_2_3_1_0_1_0/3           1         -0.05785490
    SCEL6_2_3_1_0_1_0/4           1         -0.03580498
    SCEL6_2_3_1_0_1_0/5           1         -0.01423816
    SCEL6_2_3_1_0_1_0/6           1         -0.01564454
    SCEL6_2_3_1_0_1_0/7           1         -0.00566128
    SCEL6_3_1_2_0_0_0/0           1         -0.06066747
    SCEL6_3_1_2_0_0_0/1           1         -0.07961534
    SCEL6_3_1_2_0_0_0/2           1         -0.09001954
    SCEL6_3_1_2_0_0_0/3           1         -0.04967265
    SCEL6_3_1_2_0_0_0/4           1         -0.03585752
    SCEL6_3_1_2_0_0_0/5           1         -0.01026682
    SCEL6_3_1_2_0_0_0/6           1         -0.01909682
    SCEL6_3_1_2_0_0_0/7           1         -0.01254755
    SCEL6_3_1_2_0_0_2/0           1         -0.04221295
    SCEL6_3_1_2_0_0_2/1           1         -0.05663071
    SCEL6_3_1_2_0_0_2/2           1         -0.08408574
    SCEL6_3_1_2_0_0_2/3           1         -0.05318474
    SCEL6_3_1_2_0_0_2/4           1         -0.04134694
    SCEL6_3_1_2_0_0_2/5           1         -0.02665309
    SCEL6_3_1_2_0_0_2/6           1         -0.02523045
    SCEL6_3_1_2_0_0_2/7           1         -0.00152156
    SCEL6_3_1_2_0_2_2/0           1         -0.06259625
    SCEL6_3_1_2_0_2_2/1           1         -0.04446676
    SCEL6_3_1_2_0_2_2/2           1         -0.09563860
    SCEL6_3_1_2_0_2_2/3           1         -0.03837497
    SCEL6_3_1_2_0_2_2/4           1         -0.07898684
    SCEL6_3_1_2_0_2_2/5           1         -0.01837388
    SCEL6_3_1_2_0_2_2/6           1         -0.02510181
    SCEL6_3_1_2_0_2_2/7           1         -0.00970678
    SCEL6_3_2_1_0_1_2/0           1         -0.08836150
    SCEL6_3_2_1_0_1_2/1           1         -0.10662722
    SCEL6_3_2_1_0_1_2/2           1         -0.11362864
    SCEL6_3_2_1_0_1_2/3           1         -0.11194141
    SCEL6_3_2_1_0_1_2/4           1         -0.08618723
    SCEL6_3_2_1_0_1_2/5           1         -0.05118288
    SCEL6_3_2_1_0_1_2/6           1         -0.00298822
    SCEL6_3_2_1_0_1_2/7           1         -0.01031733
    SCEL6_6_1_1_0_0_5/0           1         -0.03722839
    SCEL6_6_1_1_0_0_5/1           1         -0.02054592
    SCEL6_6_1_1_0_0_5/2           1         -0.02407328
    SCEL6_6_1_1_0_0_5/3           1         -0.01268788
    SCEL6_6_1_1_0_0_5/4           1         -0.03626183
    SCEL6_6_1_1_0_0_5/5           1         -0.03133393
    SCEL6_6_1_1_0_0_5/6           1         -0.01858718
    SCEL6_6_1_1_0_0_5/7           1         -0.00763236
    SCEL6_6_1_1_0_1_0/0           1         -0.05312191
    SCEL6_6_1_1_0_1_0/1           1         -0.05184693
    SCEL6_6_1_1_0_1_0/2           1         -0.05131098
    SCEL6_6_1_1_0_1_0/3           1         -0.01574693
    SCEL6_6_1_1_0_1_0/4           1         -0.07196546
    SCEL6_6_1_1_0_1_0/5           1         -0.04062529
    SCEL6_6_1_1_0_1_0/6           1         -0.02568352
    SCEL6_6_1_1_0_1_0/7           1         -0.02437557
    SCEL6_6_1_1_0_1_4/0           1         -0.07157454
    SCEL6_6_1_1_0_1_4/1           1         -0.11693225
